start_station_id,start_station_name,start_lat,start_lng,ride_count
35,Streeter Dr & Grand Ave,41.892278,-87.612043,31378
177,Theater on the Lake,41.926277,-87.630834,27206
76,Lake Shore Dr & Monroe St,41.880958,-87.616743,25753
176,Clark St & Elm St,41.902973,-87.63128,24590
268,Lake Shore Dr & North Blvd,41.911722,-87.626804,23311
90,Millennium Park,41.881032,-87.624084,19947
289,Wells St & Concord Ln,41.912133,-87.634656,19652
255,Indiana Ave & Roosevelt Rd,41.867888,-87.623041,19206
300,Broadway & Barry Ave,41.937582,-87.644098,18815
94,Clark St & Armitage Ave,41.918306,-87.636282,18798
85,Michigan Ave & Oak St,41.90096,-87.623777,18632
157,Lake Shore Dr & Wellington Ave,41.936688,-87.636829,18225
141,Clark St & Lincoln Ave,41.915689,-87.6346,17994
110,Dearborn St & Erie St,41.893992,-87.629318,17649
182,Wells St & Elm St,41.903222,-87.634324,17589
53,Wells St & Huron St,41.894722,-87.634362,16825
195,Columbus Dr & Randolph St,41.884728,-87.619521,16472
199,Wabash Ave & Grand Ave,41.891466,-87.626761,16396
144,Larrabee St & Webster Ave,41.921822,-87.64414,15963
59,Wabash Ave & Roosevelt Rd,41.867227,-87.625961,15909
211,St. Clair St & Erie St,41.894448,-87.622663,15879
334,Lake Shore Dr & Belmont Ave,41.940775,-87.639192,15788
313,Lakeview Ave & Fullerton Pkwy,41.925858,-87.638973,15552
52,Michigan Ave & Lake St,41.886024,-87.624117,15527
329,Lake Shore Dr & Diversey Pkwy,41.932588,-87.636427,15410
133,Kingsbury St & Kinzie St,41.889177,-87.638506,15250
56,Desplaines St & Kinzie St,41.888716,-87.644448,15180
291,Wells St & Evergreen Ave,41.906724,-87.63483,15135
24,Fairbanks Ct & Grand Ave,41.891847,-87.62058,14973
140,Dearborn Pkwy & Delaware Pl,41.898969,-87.629912,14646
459,Lakefront Trail & Bryn Mawr Ave,41.984037,-87.65231,14577
303,Broadway & Cornelia Ave,41.945529,-87.646439,14349
232,Pine Grove Ave & Waveland Ave,41.949473,-87.646453,13993
117,Wilton Ave & Belmont Ave,41.94018,-87.65304,13876
301,Clark St & Schiller St,41.907993,-87.631501,13861
623,Michigan Ave & 8th St,41.872773,-87.623981,13852
220,Clark St & Drummond Pl,41.931248,-87.644336,13751
249,Montrose Harbor,41.963982,-87.638181,13549
340,Clark St & Wrightwood Ave,41.929546,-87.643118,13433
26,McClurg Ct & Illinois St,41.890359,-87.617532,13374
43,Michigan Ave & Washington St,41.883984,-87.624684,13340
127,Lincoln Ave & Fullerton Ave,41.925905,-87.64926,12862
324,Stockton Dr & Wrightwood Ave,41.93132,-87.638742,12857
299,Halsted St & Roscoe St,41.94367,-87.64895,12611
156,Clark St & Wellington Ave,41.936497,-87.647539,12322
210,Ashland Ave & Division St,41.90345,-87.667747,12275
304,Broadway & Waveland Ave,41.949074,-87.648636,12218
212,Wells St & Hubbard St,41.889906,-87.634266,12032
3,Shedd Aquarium,41.867226,-87.615355,11936
172,Rush St & Cedar St,41.902309,-87.627691,11875
4,Burnham Harbor,41.856268,-87.613348,11753
632,Clark St & Newport St,41.94454,-87.654678,11747
113,Bissell St & Armitage Ave,41.91844,-87.65222,11703
145,Mies van der Rohe Way & Chestnut St,41.898587,-87.621915,11694
74,Kingsbury St & Erie St,41.893808,-87.641697,11658
