単語,件数
知財,696
無形資産,595
投資,468
企業,460
活用,375
戦略,252
投資家,234
事例,231
開示,188
事業,177
金融機関,170
価値,166
企業価値,154
構築,138
情報,130
自社,119
重要,111
経営,110
対話,109
期待,108
評価,106
ビジネスモデル,103
ガイドライン,99
創造,93
The Startup,90
ガバナンス,83
必要,82
向上,81
出典,80
説明,77
役割,77
分析,77
将来,76
発信,72
取組,71
技術,66
提供,63
課題,62
変革,60
資本,60
コラム,59
ストーリー,56
参考資料,55
対応,55
運用,55
実現,55
ポートフォリオ,53
委員,53
体制,52
図表,52
成長,51
検討,51
部門,51
本文,51
資料,50
環境,48
理解,48
視点,48
社会,48
サステナビリティ,47
市場,47
強み,46
指標,46
実行,45
日本企業,44
アナリスト,42
創,42
アセット,41
FRAMeWORK,41
観点,41
財務,41
情報開示,40
把握,39
実践,39
公表,39
価格,39
創出,39
因果,37
研究開発,37
資産,36
連携,36
適切,36
可能,36
事務局,35
パス,35
検討会,35
構造,34
強化,34
コミュニケーション,34
提示,33
現在,33
中長期,33
KPI,33
思考,33
知的財産,33
改訂,32
社内,32
現状,31
変化,31
競争,31
全社,31
特許,31
外部,30
十分,30
調査,30
SX,29
ランドスケープ,29
IP,29
エンゲージメント,28
結果,28
競争力,28
金融市場,28
イノベーション,28
意識,28
持続,27
姿,27
顧客,27
実施,27
ギャップ,27
基,27
プレゼン,27
有効,27
報告,26
ROIC,26
コーポレートガバナンス・コード,26
2.0,26
リスク,26
ガイダンス,25
活動,25
形成,25
今後,25
人的,25
オーナー,25
長期,24
審議,24
原則,24
組織,24
機会,24
認識,24
優位,24
サービス,23
経営戦略,23
領域,23
投資判断,23
整備,23
サイド,23
能力,23
存在,23
資金,23
貢献,23
統合報告書,22
旭化成,22
人材,22
統合,22
製品,22
具体,22
研究会,22
機能,21
日本,21
方針,21
重要性,21
想定,21
獲得,21
維持,21
指摘,21
全体,21
積極,21
大企業,21
経営陣,20
関連,20
監督,20
レポート,19
支援,19
戦略的,19
議論,19
ルール,19
行動,19
経営者,19
IR,19
プレイヤー,19
Ver,19
事業戦略,19
成果,19
設定,19
プロセス,18
新規,18
具体的,18
顕在化,18
定量,18
作成,18
費用,18
他社,18
同社,17
ポイント,17
加工,17
研究,17
セル,17
目的,17
差別化,17
有形,17
ESG,17
アウトカム,17
源泉,17
多様,17
整理,16
取り組み,16
可視化,16
効果,16
マネージャー,16
保有,16
モデル,16
オムロン,16
横断,16
