市場,業種,コード,銘柄名,file_name,ページ範囲1,ページ範囲2,ページ範囲3,除外文字列
プライム,食料品,20020,日清製粉グループ本社,NFMu.pdf,"5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30","5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23",-,"\d+日清製粉グループ統合報告書2023
Chapter 3   価値創造の基盤　Chapter 1   日清製粉グループとはChapter 2   価値創造の戦略"
プライム,食料品,25010,サッポロホールディングス,Indegrated%20report_2022.pdf,"9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52","9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 48, 49, 50, 51, 52",-,SAPPORO HOLDINGS Integrated Report 2022目次　　社長メッセージ　　価値創造ストーリー　　中長期の戦略　　ガバナンス　　パフォーマンスデータ\d+
プライム,食料品,25030,キリンホールディングス,kirinreport2023.pdf,"26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65, 66, 67, 68, 69, 70, 71, 72, 73, 74, 75, 76, 77, 78, 79, 80, 81, 82, 83, 84, 85, 86, 87, 88, 89, 90, 91, 92, 93, 94, 95, 96, 97, 98, 99, 100, 101, 102, 103, 104, 105, 106, 107, 108, 109","26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65, 66, 67, 68, 69, 70, 71, 72, 73, 74, 75, 76, 77, 78, 79, 80, 81, 82, 83, 84, 85, 86, 87, 88, 89, 90, 91, 92, 93, 94, 95, 96, 97","32, 33, 34, 35, 36, 37",KIRIN.*?INTEGRATED.*?REPORT.*?2023キリングループについて価値創造モデル.*?INPUT価値創造モデル.*?OUTPUT価値創造モデルBUSINESS価値創造モデル.*?OUTCOMECSV経営コーポレートガバナンスリスクマネジメント目次P\d+
プライム,食料品,26070,不二製油グループ本社,fujioil_integrated_report2023_01.pdf,"8,9,10,11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46","17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41","39, 40, 41","不二製油グループ 統合報告書 2023\d+
不二製油グループ 統合報告書 2023\d+イントロダクション
不二製油グループ 統合報告書 2023\d+不二製油グループの価値創造
不二製油グループ 統合報告書 2023\d+戦略とパフォーマンス
不二製油グループ 統合報告書 2023\d+ガバナンス
CEO  MessageI N T R O D U C T I O N
V A L U E  C R E A T I O N
S T R A T E G Y  A N D  P E R F O R M A N C E


"
プライム,食料品,28020,味の素,ASV_Report_2023_J_A3.pdf,"17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43","17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 42, 43","30, 31, 32, 33, 34, 35, 36","\d+CHAPTER
\d+ASV REPORT 2023ASV REPORT 2023 \d+
アミノサイエンス®でできること
社長メッセージ
アミノサイエンス®で成長を加速し、構造改革から成長へとシフトします。"
プライム,食料品,29140,日本たばこ産業,integrated2022_J_all.pdf,"21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44","25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39",-,\d+日本たばこ産業　統合報告書 2022日本たばこ産業　統合報告書 2022アイデンティティマテリアリティと サステナビリティ事業と戦略ガバナンス財務情報・その他
プライム,繊維製品,31010,東洋紡,TOYOBO%20REPORT%202023%203.pdf,"5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65, 66, 67, 68","5, 6, 7, 8, 11, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46",28,"TO Y O B O  RE P O RT 2023
価値創造ストーリーイントロダクション価値創造の戦略
価値創造の実践価値創造の基盤資料編
。\n.*?CEOメッセージ
。\n.*?価値創造プロセス
。\n.*?東洋紡のあゆみ
。\n.*?At a glance
。\n.*?サステナブル・ビジョン203
。\n.*?マテリアリティ
。\n.*?財務・サステナビリティハイライト
。\n.*?CFOメッセージ
。\n.*?デジタル・トランスフォーメーション
。\n.*?イノベーション
。\n.*?2025中期経営計画
。\n.*?事業別概況
。\n.*?ライフサイエンス
。\n.*?環境・機能材
。\n.*?特集「東洋紡エムシー始動」
。\n.*?機能繊維・商事
。\n.*?フィルム"
プライム,繊維製品,34010,帝人,00.pdf,"22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 39, 40, 41, 42, 43","22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33",32,"TEIJIN LIMITED　統合報告書 2023TEIJIN LIMITED　統合報告書 2023\d+　\d+
収益性改善に向けた改革データセクション帝人グループの価値創造企業価値向上を支える経営基盤"
プライム,化学,34070,旭化成,23jp.pdf,"23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65, 66, 67, 68, 69, 70, 71, 72, 73, 74, 75, 76, 77, 88, 89, 90, 91, 92, 93, 94","23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65, 66, 67, 68, 69, 70, 71, 72, 73, 74, 75, 76, 77","76, 77","旭化成レポート2023価値創造成長戦略旭化成の目指す姿ガバナンス強化成長の基盤強化企業情報\d+
旭化成レポート2023\d+"
プライム,化学,40050,住友化学,scr2023.pdf,"31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65, 66, 67, 68, 69, 70, 71, 72, 73, 74, 75, 76, 77, 78, 79, 80, 81, 82","31, 32, 33, 34, 35, 36,  49, 50, 51, 52, 53, 54, 55, 56, 63, 64, 65, 66, 67, 68, 69, 70, 71, 72, 73, 74, 75, 76, 77, 78, 79, 80, 81, 82","49, 50, 51, 52","\d+住友化学レポート2023
はじめに会長メッセージ
はじめにトップメッセージ
住友化学とは企業理念
住友化学とは住友化学の歴史
住友化学のコア・コンピタンス
住友化学とは価値創造フロー
住友化学とは住友化学の５つの事業領域
住友化学とは経営として取り組む重要課題とKPI
住友化学とは財務ハイライト
住友化学の戦略2022-2024年度 中期経営計画
住友化学の戦略財務戦略
住友化学の戦略IR活動
事業継続のための基盤住友化学の戦略経営として取り組む重要課題
社会価値創出に関する重要課題住友化学の戦略経営として取り組む重要課題
将来の価値創造に向けた重要課題住友化学の戦略経営として取り組む重要課題
住友化学の戦略経営として取り組む重要課題
住友化学の戦略事業戦略"
