梅田 博和,0,0,0,名詞,固有名詞,人名,一般,*,*,梅田 博和,ウメダ　ヒロカズ,ウメダ　ヒロカズ
Panasonic Holdings,0,0,0,名詞,固有名詞,組織,*,*,*,Panasonic Holdings,パナソニック　ホールディングス,パナソニック　ホールディングス
Panasonic Transformation,0,0,0,名詞,固有名詞,一般,*,*,*,Panasonic Transformation,パナソニック　トランスフォーメーション,パナソニック　トランスフォーメーション
intellectual property,0,0,0,名詞,一般,*,*,*,*,intellectual property,インテレクチュアル　プロパティ,インテレクチュアル　プロパティー
共創,0,0,0,名詞,サ変接続,*,*,*,*,共創,キョウソウ,キョーソー
管理籍,0,0,0,名詞,一般,*,*,*,*,管理籍,カンリセキ,カンリセキ
統合報告書,0,0,0,名詞,固有名詞,一般,*,*,*,統合報告書,トウゴウホウコクショ,トーゴーホウコクショ
Panasonic GREEN IMPACT,0,0,0,名詞,固有名詞,一般,*,*,*,Panasonic GREEN IMPACT,パナソニック　グリーンインパクト,パナソニック　グリーンインパクト
オペレーショナル エクセレンス,0,0,0,名詞,固有名詞,組織,*,*,*,オペレーショナルエクセレンス,オペレーショナルエクセレンス,オペレーショナルエクセレンス
インダストリー,0,0,0,名詞,固有名詞,組織,*,*,*,インダストリー,インダストリー,インダストリー
