ぱんでみっく!!	パンデミック
The Startups	スタートアップ
The Startup	スタートアップ
iKON	アイコン
FRAMeWORK	フレームワーク
Happiness!!	ハピネス
MOTIVE!!	モーティブ
ecosystem	エコシステム
supply chain	サプライチェーン
Compliance	コンプライアンス
smartphone	スマートフォン
Sustainable	サステナブル
Blockchain	ブロックチェーン
Synergy	シナジー
cloud computing	クラウドコンピューティング
CROWD	クラウド
on demand	オンデマンド
THE SOLUTION	ソリューション
C，T	CT
new normal	ニューノーマル
CY8ER	サイバー
AXIS	アクシス
ANGAGEMENT	エンゲージメント
System Integration	システムインテグレーション
Creator	クリエイター
Open Source	オープンソース
PLAY!	プレイ
youth case	ユースケース
Telepresence	テレプレゼンス
