要素,カウント
目次,1
編集,2
方針,23
パナソニックグループ,103
At,8
a,3
Glance,8
価値,36
創造,13
プロセス,38
マテリアリティトップメッセージ,1
メッセージ,95
参照,38
戦略,221
説明会,22
セグメント,63
事業,217
オートモーティブ,15
コネクト,22
インダス,18
トリー,18
エナジー,24
Panasonic,18
Group,8
事業会社,128
テーマ,68
環境,99
技術戦略,25
PX,41
Panasonic Transformation,23
取り組み,139
人事,28
人権,42
尊重,32
コーポレート・ガバナンス,89
対談,21
体制,38
構成,36
企業,105
ハイライト,26
財務,104
主要,22
資本市場,25
対話,28
会社,41
情報,29
有価証券報告書,4
サステナビリティ,32
データブック,15
報告書,2
グループヘ,1
理解,11
目的,12
経営戦略,6
財務状況,1
ガバナンス,10
投資家,11
多様,16
ステークホルダー,19
皆様,17
お伝え,1
物,8
心,10
豊か,14
理想,13
社会,74
実現,81
中長期,27
向上,80
重要,82
課題,56
マテリアリティ,28
説明,6
将来,24
見通し,9
注意事項,1
本書,3
予想,5
記述,7
該当,6
記載,9
過去,10
現在,40
事実,1
入手,1
可能,31
仮定,2
お呼び,35
判断,14
既知,1
未知,1
リスク,28
確実性,1
並び,3
その他,17
要因,4
内在,1
恐れ,2
不確実性,2
明示,2
黙示,1
結果,25
内容,13
大幅,8
日付,1
更新,1
公表,4
義務,1
金融商品取引法,1
今後,35
提出,1
書類,1
開示,9
Panasonic Holdings,56
統合報告書,57
トップ,69
売上高,30
成長戦略,6
P,25
欧州,20
A,13
2W,6
積極,7
投資,103
アジア,5
配線,5
器具,6
水素燃料,5
電池,70
強化,55
国内,20
中国,21
家電,10
電設,2
資材,4
北米,16
冷凍,2
冷蔵,2
ショーケース,3
安定,12
収益,21
主,14
商品,10
Air,4
TO,4
Water,4
ヒートポンプ,9
温水,10
給湯,8
暖房,10
車載,89
コックピット,9
システム,42
出力,3
充電器,2
収益性,15
基盤,13
技術,63
強み,8
統合,7
HPC,2
開発,24
加速,17
視点,22
車,3
空間,6
体験,2
日本,31
インド,4
High,2
Performance,2
Computer,2
営業利益,20
サプライチェーン・マネジメント,13
集中,13
競争,8
お客様,37
経営課題,8
解決,24
貢献,70
航空機,4
エンターテインメント,6
コロナ,1
回復,11
フェーズ,9
移行,19
歩行者,1
検知,1
カメラ,2
情報通信,4
移動,2
効率化,4
実証実験,2
ソフトウェア,7
EBITDA,19
要請,5
高位,8
CASE,3
インフラ,4
工場,69
省人化,3
領域,45
材料,28
EV,16
リレー,5
コンデンサ,6
FA,7
ソリューション,24
電子材料,6
軸,11
成長,59
産業,14
モーター,1
売上,21
経営成績,1
容量,7
安全,36
性能,4
実績,30
円筒,12
リチウムイオン電池,8
車両,1
電動,6
環境負荷,3
低減,6
データセンター,3
蓄電,4
高信頼,1
応用,4
社会インフラ,1
多層,2
基板,3
一次電池,2
乾電池,3
リチウム,2
Our,1
Global,2
Expansion,1
The The,4
in,3
Numbers,1
ROE,21
中期,42
指標,35
累積,18
2.0,14
営業,28
キャッシュ・フロー,26
研究開発,8
GX,6
特許,18
ファミリー,2
比率,29
関連,21
IPF,5
件数,15
国際,5
展開,17
発明,5
CO2,87
削減,71
スコープ,13
社員,62
エンゲージメント,14
指数,7
機関投資家,2
創業,6
貿易,1
新設,4
輸出,1
開始,20
海外,19
販売会社,1
米国,24
設立,5
製造,16
販売,10
活動,39
グローバル,25
世界中,2
拠点,32
米州,1
60.9%,1
従業員,17
391人,2
62.8%,1
P2,4
P5,5
基準,7
比較,3
GHG,3
プロトコル,2
区分,11
67%,2
延べ,5
一人ひとり,38
生涯,16
健康,31
快適,19
地球環境問題,11
競争力,40
オペレーション,10
提供,7
基本方針,14
企業活動,4
経営資源,1
ブランドスローガン,1
パナソニック,76
PC,4
オートモーティブシステムズ,7
PAS,6
コミュニケーション,5
PEAC,1
ハウジングソリューションズ,1
PHS,1
PCO,6
PID,5
PEC,5
7つ,10
全体,50
経営基盤,4
重点,19
生産,26
変動,10
対応力,5
需要,7
5つ,2
変化,24
スピード,4
長期,19
構造,3
優位,8
ビジネスモデル,2
ニーズ,4
高等,1
10%,9
報告,20
自然資本,1
年間,9
ブランディング,1
専,9
⾨,18
インターブランド,1
調べ,2
化石,2
証書,3
エネ,6
市場,28
購入,12
先様,10
オペレーショナル・エクセレンス,5
PEX,1
徹底,16
支援,13
制度,24
整備,8
選択,3
資金,17
投資グループ,1
対応,33
ホールディングス,35
PHD,29
具現化,3
両輪,4
CF,12
5兆円,7
KGI,16
還元,4
拡大,50
企業価値,27
実践,13
Wellbeing,14
マテリアリティマテリアリティマテリアリティ,1
特定,29
2つ,6
側面,3
機会,21
推進,79
創出,47
適宜,2
予見,1
抽出,10
評価,56
分析,10
妥当性,6
社外,12
⾨家,4
確認,11
経営委員会,4
会議,9
検討,15
ステップ,7
項目,20
国際基準,2
法規制,2
動向,5
関心事,1
メガトレンド,4
観点,18
11項目,1
感染症,1
ぱんでみっく!!,3
備え,6
自然災害,2
地球温暖化,6
進行,4
資源,19
枯渇,5
自社,26
サイバーセキュリティ,13
ビジネス,12
インテグリティ,3
地政学,3
検証,1
専門家,1
諮問,12
審議,9
注,4
リスクマネジメント,10
決定,40
類似,1
名称,1
一部,6
マテリアリティマテリアリティ,1
事例,8
ポジティブ,2
ネガティブ,2
緩和,1
目標,30
事項,5
GREEN,7
IMPACT,14
温水暖房,1
エネルギー,19
技術革新,2
電解,5
ペロブスカイト太陽電池,5
DERMS,1
排出,44
省エネ,16
機器,13
サーキュラーエコノミー,9
製品,29
インパクト,2
実質,14
四角形,23
廃棄物,11
リサイクル,15
99%,4
サイト,5
届け,4
プロバイダー,2
デジタル技術,2
Compliance,8
行動基準,1
社内規程,2
促進,8
順守,6
内部通報,1
周知,1
適切,13
運用,5
知的財産,14
保護,2
活用,42
第三者,1
企業倫理,2
supply chain,24
ムダ,1
滞留,1
撲滅,7
複線化,1
見直し,8
強靭,4
安心,11
職場環境,7
イニシアティブ,1
自発,7
挑戦,23
意欲,6
自律,6
キャリア形成,6
副業,6
能力,15
選択肢,7
公募,5
人材,17
交流,2
Diversity,5
Equity,5
Inclusion,4
コミットメント,3
インクルーシブ,4
サポート,5
重篤,9
災害,19
重大,7
意識調査,8
水準,12
持ち株会社,1
権限委譲,1
実施,48
派遣,1
参画,5
KPI,4
役員報酬,7
連動,39
企業情報,1
労働,11
グローバルスタンダード,1
デュー・ディリジェンス,3
責任,23
調達,12
AI,30
倫理,4
情報システム,4
分野,11
共通,24
機能,24
一元化,1
平時,2
対策,10
有事,2
インシデント,1
段階,6
対象,18
範囲,16
国際情勢,3
各国,5
地域,23
政策,1
監視,3
把握,5
適時,1
経済,4
安全保障政策,1
起因,1
脅威,1
注視,1
感染,2
政府方針,1
規制,1
国語,1
策定,7
事業場,1
詳細,22
ルール,2
設定,19
備蓄,1
訓練,1
充実,8
安否,1
構築,24
緊急,1
対策本部,1
資料,10
目標達成,5
目線,1
改善,25
役割,12
PBR,13
株価純資産倍率,1
最低,3
ライン,2
1倍,3
前後,5
推移,7
有言実行,3
進捗,17
成果,15
公開,3
株主,37
意見,8
姿,12
楠見,16
雄規,5
一時,3
利益,10
基礎,4
体力,1
明確,9
代表,8
リードタイム,2
短縮,4
在庫,4
半減,5
横,1
確信,2
この間,1
素地,1
間違い,1
手応え,1
ギアチェンジ,1
解像度,4
変革,25
具体的,6
度合い,2
競争優位性,6
進展,5
封印,1
ポートフォリオ,22
マネジメント,14
達成,20
