単語,件数
事業,217
取り組み,139
事業会社,128
報酬,110
戦略,107
財務,104
投資,103
環境,99
車載,89
CO2,87
重要,82
実現,81
向上,80
推進,79
パナソニック,75
社会,74
削減,71
貢献,70
電池,70
工場,69
技術,63
社員,62
成長,59
課題,56
評価,56
強化,55
拡大,50
全体,50
企業,48
実施,48
創出,47
パナソニックグループ,47
必要,47
領域,45
排出,44
議論,43
活用,42
システム,42
中期,42
会社,41
人権,41
PX,41
競争力,40
現在,40
決定,40
活動,39
連動,39
プロセス,38
メッセージ,38
参照,38
体制,38
一人ひとり,38
お客様,37
株主,37
価値,36
安全,36
構成,36
ホールディングス,35
指標,35
今後,35
対応,33
尊重,32
サステナビリティ,32
コーポレート・ガバナンス,32
拠点,32
日本,31
可能,31
健康,31
実績,30
目標,30
AI,30
売上高,30
基本,29
比率,29
特定,29
PHD,29
製品,29
情報,29
対話,28
人事,28
株式,28
帰属,28
材料,28
営業,28
マテリアリティ,28
市場,28
リスク,28
監督,27
中長期,27
企業価値,27
業務,27
キャッシュ・フロー,26
生産,26
自社,26
ハイライト,26
変革,25
継続,25
認識,25
資本市場,25
P,25
技術戦略,25
改善,25
親会社,25
グローバル,25
エナジー,25
執行,25
所有者,25
結果,25
supply chain,24
制度,24
開発,24
将来,24
共通,24
変化,24
ソリューション,24
米国,24
機能,24
構築,24
解決,24
IFRS,24
実効性,23
地域,23
挑戦,23
期待,23
Panasonic Transformation,23
方針,23
責任,23
資本,22
導入,22
視点,22
詳細,22
女性,22
ポートフォリオ,22
主要,22
説明会,22
コネクト,22
対談,21
機会,21
中国,21
ROE,21
サービス,21
関連,21
水素,21
売上,21
収益,21
当期純利益,20
国内,20
欧州,20
項目,20
営業利益,20
達成,20
支給,20
報告,20
開始,20
津賀,19
樹脂,19
移行,19
災害,19
設定,19
資源,19
海外,19
Panasonic,19
短期,19
快適,19
ステークホルダー,19
EBITDA,19
インダストリー,19
監査,19
重点,19
エネルギー,19
進化,19
長期,19
累積,18
観点,18
社内,18
前年度,18
対象,18
米国会計基準,18
⾨,18
考え方,18
特許,18
従業員,17
展開,17
DEI,17
資金,17
皆様,17
その他,17
人材,17
加速,17
進捗,17
省エネ,16
使用,16
現場,16
KGI,16
範囲,16
楠見,16
EV,16
製造,16
委員会,16
生涯,16
北米,16
徹底,16
多様,16
原則,16
自主,16
成果,15
確保,15
デジタル,15
Panasonic GREEN IMPACT,15
データブック,15
検討,15
リサイクル,15
空調,15
空,15
収益性,15
件数,15
独立,15
両立,15
IT,15
能力,15
連結,15
反映,14
2.0,14
マネジメント,14
開催,14
エンゲージメント,14
主,14
実質,14
配当,14
知的財産,14
冨山,14
IMPACT,14
指名,14
循環,14
基本方針,14
判断,14
管理職,14
幸せ,14
Wellbeing,14
豊か,14
IRA,14
産業,14
ブルーヨンダー,14
理想,13
支援,13
適切,13
調整,13
スコープ,13
機器,13
サイバーセキュリティ,13
基盤,13
A,13
創造,13
集中,13
サプライチェーン・マネジメント,13
議案,13
実践,13
個人,13
歩み,13
連携,13
最大,13
PBR,13
モノ,13
オートモーティブ,13
内容,13
持分,12
増加,12
株価,12
役割,12
再生可能エネルギー,12
安定,12
計画,12
合計,12
調達,12
業界,12
社外,12
ビジネス,12
発揮,12
トップ,12
譲渡,12
事業活動,12
購入,12
制限,12
円筒,12
CF,12
姿,12
案件,12
諮問,12
意思決定,12
水準,12
知見,12
外部,12
目的,12
持続,11
理解,11
安心,11
投資家,11
多様性,11
後継者,11
技術開発,11
成形,11
廃棄物,11
経験,11
付加価値,11
軸,11
Panasonic Holdings,11
注力,11
自ら,11
パートナー,11
従来,11
要素,11
テーマ,11
回復,11
分野,11
労働,11
モニタリング,11
区分,11
管理,11
ROIC,11
中心,11
地球環境問題,11
確認,11
再生,11
of,10
先様,10
抽出,10
分析,10
リスクマネジメント,10
独,10
過去,10
総資産,10
幹部,10
IR,10
社外監査役,10
柱,10
生産能力,10
C,10
行動,10
資料,10
建設,10
キャリア,10
家電,10
利益,10
太陽光発電,10
カーボンニュートラル,10
当たり,10
累計,10
バリュー・チェーン,10
カンザス,10
経営者,10
変動,10
7つ,10
商品,10
メンバー,10
ガバナンス,10
モデル,10
職場,10
オペレーション,10
心,10
実行,10
温水,10
販売,10
対策,10
暖房,10
部分,9
1億,9
適用,9
資産,9
サーキュラーエコノミー,9
CE,9
明確,9
燃料電池,9
維持,9
償却,9
計上,9
利用,9
GWh,9
具体,9
重篤,9
MSCI,9
モビリティ,9
会議,9
審議,9
開示,9
意思,9
答申,9
表示,9
見通し,9
仕組み,9
ハラスメント,9
10%,9
年間,9
専,9
期末,9
フェーズ,9
記載,9
コックピット,9
ヒートポンプ,9
北東アジア,8
規模,8
物,8
意見,8
強み,8
標準化,8
促進,8
代表,8
Compliance,8
規律,8
安全性,8
研究,8
回答,8
平均,8
発信,8
優位,8
提案,8
リチウムイオン電池,8
信託,8
配当性向,8
給湯,8
意識調査,8
設備,8
効率,8
減価償却費,8
オートモーティブシステムズ,8
CHRO,8
研究開発,8
大幅,8
算出,8
充実,8
定時株主総会,8
生分解,8
